X [mm], Y [mm], Z [mm], Heading [degrees], Filename
5780.06, 5584.11, 1800, 219.942, image_00316.png
5773.57, 5576.5, 1800, 220.489, image_00317.png
5767, 5568.96, 1800, 221.022, image_00318.png
5760.38, 5561.47, 1800, 221.534, image_00319.png
5753.68, 5554.04, 1800, 222.03, image_00320.png
5746.93, 5546.66, 1800, 222.5, image_00321.png
5740.12, 5539.34, 1800, 222.902, image_00322.png
5733.28, 5532.05, 1800, 223.213, image_00323.png
5726.4, 5524.78, 1800, 223.429, image_00324.png
5719.51, 5517.54, 1800, 223.574, image_00325.png
5712.61, 5510.3, 1800, 223.648, image_00326.png
5705.71, 5503.07, 1800, 223.663, image_00327.png
5698.81, 5495.83, 1800, 223.617, image_00328.png
5691.92, 5488.58, 1800, 223.52, image_00329.png
5685.05, 5481.31, 1800, 223.374, image_00330.png
5678.21, 5474.02, 1800, 223.178, image_00331.png
5671.4, 5466.7, 1800, 222.933, image_00332.png
5664.62, 5459.34, 1800, 222.643, image_00333.png
5657.89, 5451.95, 1800, 222.31, image_00334.png
5651.2, 5444.51, 1800, 221.928, image_00335.png
5644.58, 5437.02, 1800, 221.502, image_00336.png
5638.01, 5429.48, 1800, 221.026, image_00337.png
5631.51, 5421.88, 1800, 220.505, image_00338.png
5625.09, 5414.21, 1800, 219.93, image_00339.png
5618.75, 5406.48, 1800, 219.304, image_00340.png
5612.51, 5398.67, 1800, 218.627, image_00341.png
5606.36, 5390.78, 1800, 217.888, image_00342.png
5600.33, 5382.81, 1800, 217.092, image_00343.png
5594.41, 5374.74, 1800, 216.226, image_00344.png
5588.63, 5366.58, 1800, 215.295, image_00345.png
5582.99, 5358.33, 1800, 214.292, image_00346.png
5577.51, 5349.96, 1800, 213.208, image_00347.png
5572.2, 5341.49, 1800, 212.039, image_00348.png
5567.07, 5332.9, 1800, 210.782, image_00349.png
5562.15, 5324.2, 1800, 209.425, image_00350.png
5557.46, 5315.37, 1800, 207.964, image_00351.png
5553, 5306.42, 1800, 206.392, image_00352.png
5548.81, 5297.34, 1800, 204.701, image_00353.png
5544.9, 5288.13, 1800, 202.946, image_00354.png
5541.27, 5278.81, 1800, 201.224, image_00355.png
5537.91, 5269.4, 1800, 199.56, image_00356.png
5534.82, 5259.89, 1800, 197.952, image_00357.png
5531.99, 5250.3, 1800, 196.419, image_00358.png
5529.39, 5240.64, 1800, 194.966, image_00359.png
5527.03, 5230.92, 1800, 193.594, image_00360.png
5524.89, 5221.15, 1800, 192.315, image_00361.png
5522.96, 5211.34, 1800, 191.127, image_00362.png
5521.2, 5201.5, 1800, 190.039, image_00363.png
5519.63, 5191.62, 1800, 189.042, image_00364.png
5518.2, 5181.72, 1800, 188.148, image_00365.png
5516.92, 5171.81, 1800, 187.354, image_00366.png
5515.75, 5161.88, 1800, 186.655, image_00367.png
5514.69, 5151.93, 1800, 186.06, image_00368.png
5513.72, 5141.98, 1800, 185.559, image_00369.png
5512.82, 5132.02, 1800, 185.156, image_00370.png
5511.97, 5122.06, 1800, 184.844, image_00371.png
5511.17, 5112.09, 1800, 184.63, image_00372.png
5510.38, 5102.12, 1800, 184.506, image_00373.png
5509.6, 5092.15, 1800, 184.473, image_00374.png
5508.81, 5082.18, 1800, 184.531, image_00375.png
5507.99, 5072.21, 1800, 184.674, image_00376.png
5507.14, 5062.25, 1800, 184.902, image_00377.png
5506.23, 5052.29, 1800, 185.22, image_00378.png
5505.26, 5042.34, 1800, 185.617, image_00379.png
5504.2, 5032.4, 1800, 186.097, image_00380.png
5503.04, 5022.46, 1800, 186.658, image_00381.png
5501.78, 5012.54, 1800, 187.296, image_00382.png
5500.39, 5002.64, 1800, 188.013, image_00383.png
5498.87, 4992.76, 1800, 188.795, image_00384.png
5497.21, 4982.9, 1800, 189.578, image_00385.png
5495.42, 4973.06, 1800, 190.339, image_00386.png
5493.5, 4963.24, 1800, 191.078, image_00387.png
5491.47, 4953.45, 1800, 191.791, image_00388.png
5489.31, 4943.69, 1800, 192.489, image_00389.png
5487.04, 4933.95, 1800, 193.16, image_00390.png
5484.65, 4924.24, 1800, 193.817, image_00391.png
5482.16, 4914.55, 1800, 194.458, image_00392.png
5479.56, 4904.9, 1800, 195.078, image_00393.png
5476.86, 4895.27, 1800, 195.688, image_00394.png
5474.07, 4885.67, 1800, 196.279, image_00395.png
5471.17, 4876.1, 1800, 196.86, image_00396.png
5468.18, 4866.55, 1800, 197.426, image_00397.png
5465.1, 4857.04, 1800, 197.981, image_00398.png
5461.92, 4847.56, 1800, 198.527, image_00399.png
5458.66, 4838.1, 1800, 199.06, image_00400.png
5455.31, 4828.68, 1800, 199.586, image_00401.png
5451.88, 4819.29, 1800, 200.102, image_00402.png
5448.36, 4809.93, 1800, 200.612, image_00403.png
5444.77, 4800.6, 1800, 201.113, image_00404.png
5441.09, 4791.3, 1800, 201.609, image_00405.png
5437.33, 4782.03, 1800, 202.097, image_00406.png
5433.49, 4772.8, 1800, 202.585, image_00407.png
5429.58, 4763.6, 1800, 203.064, image_00408.png
5425.59, 4754.43, 1800, 203.543, image_00409.png
5421.52, 4745.29, 1800, 204.016, image_00410.png
5417.38, 4736.19, 1800, 204.49, image_00411.png
5413.16, 4727.12, 1800, 204.963, image_00412.png
5408.87, 4718.09, 1800, 205.434, image_00413.png
5404.5, 4709.09, 1800, 205.907, image_00414.png
5400.06, 4700.13, 1800, 206.383, image_00415.png
5395.55, 4691.21, 1800, 206.858, image_00416.png
5390.96, 4682.32, 1800, 207.329, image_00417.png
5386.3, 4673.47, 1800, 207.793, image_00418.png
5381.57, 4664.66, 1800, 208.242, image_00419.png
5376.78, 4655.89, 1800, 208.68, image_00420.png
5371.92, 4647.15, 1800, 209.104, image_00421.png
5366.99, 4638.45, 1800, 209.511, image_00422.png
5362.01, 4629.77, 1800, 209.892, image_00423.png
5356.98, 4621.14, 1800, 210.258, image_00424.png
5351.89, 4612.53, 1800, 210.599, image_00425.png
5346.75, 4603.95, 1800, 210.913, image_00426.png
5341.58, 4595.39, 1800, 211.203, image_00427.png
5336.36, 4586.86, 1800, 211.461, image_00428.png
5331.11, 4578.35, 1800, 211.695, image_00429.png
5325.82, 4569.86, 1800, 211.897, image_00430.png
5320.51, 4561.38, 1800, 212.07, image_00431.png
5315.18, 4552.92, 1800, 212.215, image_00432.png
5309.84, 4544.47, 1800, 212.332, image_00433.png
5304.48, 4536.03, 1800, 212.417, image_00434.png
5299.11, 4527.59, 1800, 212.48, image_00435.png
5293.73, 4519.16, 1800, 212.509, image_00436.png
5288.36, 4510.73, 1800, 212.519, image_00437.png
5282.98, 4502.3, 1800, 212.503, image_00438.png
5277.62, 4493.86, 1800, 212.461, image_00439.png
5272.26, 4485.42, 1800, 212.4, image_00440.png
5266.91, 4476.97, 1800, 212.32, image_00441.png
5261.58, 4468.51, 1800, 212.221, image_00442.png
5256.26, 4460.04, 1800, 212.104, image_00443.png
5250.97, 4451.55, 1800, 211.973, image_00444.png
5245.69, 4443.06, 1800, 211.825, image_00445.png
5240.44, 4434.55, 1800, 211.669, image_00446.png
5235.22, 4426.02, 1800, 211.497, image_00447.png
5230.02, 4417.48, 1800, 211.315, image_00448.png
5224.85, 4408.92, 1800, 211.122, image_00449.png
5219.71, 4400.34, 1800, 210.916, image_00450.png
5214.6, 4391.74, 1800, 210.696, image_00451.png
5209.53, 4383.12, 1800, 210.464, image_00452.png
5204.49, 4374.48, 1800, 210.223, image_00453.png
5199.5, 4365.82, 1800, 209.967, image_00454.png
5194.54, 4357.14, 1800, 209.697, image_00455.png
5189.63, 4348.43, 1800, 209.414, image_00456.png
5184.76, 4339.69, 1800, 209.117, image_00457.png
5179.94, 4330.93, 1800, 208.801, image_00458.png
